section,row,seat,x,y
316,13,23,6476.88,6680.71
316,13,24,6463.33,6684.24
316,14,1,6781.11,6626.78
316,14,2,6767.56,6630.31
316,14,3,6754.02,6633.84
316,14,4,6740.47,6637.37
316,14,5,6726.92,6640.9
316,14,6,6713.37,6644.42
316,14,7,6699.82,6647.95
316,14,8,6686.28,6651.48
316,14,9,6672.73,6655.01
316,14,10,6659.18,6658.54
316,14,11,6645.63,6662.07
316,14,12,6632.08,6665.6
316,14,13,6618.54,6669.13
316,14,14,6604.99,6672.66
316,14,15,6591.44,6676.18
316,14,16,6577.89,6679.71
316,14,17,6564.34,6683.24
316,14,18,6550.8,6686.77
316,14,19,6537.25,6690.3
316,14,20,6523.7,6693.83
316,14,21,6510.15,6697.36
316,14,22,6496.6,6700.89
316,14,23,6483.06,6704.42
316,14,24,6469.51,6707.95
316,15,1,6787.29,6650.49
316,15,2,6773.74,6654.02
316,15,3,6760.19,6657.55
316,15,4,6746.64,6661.07
316,15,5,6733.1,6664.6
316,15,6,6719.55,6668.13
316,15,7,6706,6671.66
316,15,8,6692.45,6675.19
316,15,9,6678.9,6678.72
316,15,10,6665.36,6682.25
316,15,11,6651.81,6685.78
316,15,12,6638.26,6689.31
316,15,13,6624.71,6692.84
316,15,14,6611.16,6696.36
316,15,15,6597.62,6699.89
316,15,16,6584.07,6703.42
316,15,17,6570.52,6706.95
316,15,18,6556.97,6710.48
316,15,19,6543.42,6714.01
316,15,20,6529.88,6717.54
316,15,21,6516.33,6721.07
316,15,22,6502.78,6724.6
316,15,23,6489.23,6728.13
316,15,24,6475.68,6731.65
316,16,1,6794.91,6673.82
316,16,2,6781.37,6677.35
316,16,3,6767.82,6680.88
316,16,4,6754.27,6684.41
316,16,5,6740.72,6687.93
316,16,6,6727.17,6691.46
316,16,7,6713.63,6694.99
316,16,8,6700.08,6698.52
316,16,9,6686.53,6702.05
316,16,10,6672.98,6705.58
316,16,11,6659.43,6709.11
316,16,12,6645.89,6712.64
316,16,13,6632.34,6716.17
316,16,14,6618.79,6719.7
316,16,15,6605.24,6723.22
316,16,16,6591.7,6726.75
316,16,17,6578.15,6730.28
316,16,18,6564.6,6733.81
316,16,19,6551.05,6737.34
316,16,20,6537.5,6740.87
316,16,21,6523.96,6744.4
